transaction_id,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,dateAndTimeForTransaction
1,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,2023-01-01 07:06:11
2,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,2023-01-01 07:08:56
3,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,2023-01-01 07:14:04
4,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,2023-01-01 07:20:24
5,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,2023-01-01 07:22:41
6,1,5,Lower Manhattan,77,3.0,Bakery,Scone,2023-01-01 07:22:41
7,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,2023-01-01 07:25:49
8,2,5,Lower Manhattan,28,2.0,Coffee,Gourmet brewed coffee,2023-01-01 07:33:34
9,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,2023-01-01 07:39:13
10,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,2023-01-01 07:39:34
11,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,2023-01-01 07:43:05
12,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,2023-01-01 07:44:35
13,1,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,2023-01-01 07:45:51
14,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,2023-01-01 07:48:19
15,2,5,Lower Manhattan,87,3.0,Coffee,Barista Espresso,2023-01-01 07:52:36
16,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,2023-01-01 07:59:58
17,1,5,Lower Manhattan,79,3.75,Bakery,Scone,2023-01-01 07:59:58
22,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,2023-01-01 08:24:26
23,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,2023-01-01 08:24:26
26,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,2023-01-01 08:33:08
27,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,2023-01-01 08:33:08
28,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,2023-01-01 08:35:03
29,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,2023-01-01 08:35:03
32,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,2023-01-01 08:52:32
33,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,2023-01-01 08:54:33
34,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,2023-01-01 08:56:27
36,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,2023-01-01 08:58:55
37,1,5,Lower Manhattan,55,4.0,Tea,Brewed Chai tea,2023-01-01 09:00:12
42,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,2023-01-01 09:10:30
43,1,5,Lower Manhattan,78,4.5,Bakery,Scone,2023-01-01 09:10:30
44,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,2023-01-01 09:11:06
45,1,5,Lower Manhattan,77,3.0,Bakery,Scone,2023-01-01 09:11:06
46,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,2023-01-01 09:13:01
47,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,2023-01-01 09:13:15
48,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,2023-01-01 09:14:16
52,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,2023-01-01 09:15:09
53,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,2023-01-01 09:15:13
54,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,2023-01-01 09:19:21
56,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,2023-01-01 09:21:08
58,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,2023-01-01 09:22:46
63,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,2023-01-01 09:40:13
64,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,2023-01-01 09:41:22
65,1,5,Lower Manhattan,79,3.75,Bakery,Scone,2023-01-01 09:41:22
66,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,2023-01-01 09:44:20
67,1,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,2023-01-01 09:44:46
68,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,2023-01-01 09:46:46
70,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,2023-01-01 09:50:44
71,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,2023-01-01 09:50:44
72,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,2023-01-01 09:52:58
77,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,2023-01-01 09:54:46
78,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,2023-01-01 09:55:16
82,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,2023-01-01 10:14:49
83,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,2023-01-01 10:14:49
84,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,2023-01-01 10:16:30
87,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,2023-01-01 10:18:52
88,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,2023-01-01 10:19:42
91,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,2023-01-01 10:25:45
