transaction_id,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,dateAndTimeForTransaction
106,1,3,Astoria,22,2.0,Coffee,Drip coffee,2023-01-01 11:01:48
107,1,3,Astoria,38,3.75,Coffee,Barista Espresso,2023-01-01 11:01:58
108,1,3,Astoria,75,3.5,Bakery,Pastry,2023-01-01 11:01:58
112,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,2023-01-01 11:08:11
114,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,2023-01-01 11:09:01
115,1,3,Astoria,47,3.0,Tea,Brewed Green tea,2023-01-01 11:10:21
116,1,3,Astoria,79,3.75,Bakery,Scone,2023-01-01 11:10:21
117,1,3,Astoria,46,2.5,Tea,Brewed Green tea,2023-01-01 11:10:58
118,1,3,Astoria,43,3.0,Tea,Brewed herbal tea,2023-01-01 11:12:29
119,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,2023-01-01 11:16:02
122,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,2023-01-01 11:21:14
126,2,3,Astoria,49,3.0,Tea,Brewed Black tea,2023-01-01 11:25:35
129,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,2023-01-01 11:28:29
141,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,2023-01-01 11:40:26
142,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,2023-01-01 11:43:57
144,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,2023-01-01 11:47:13
148,2,3,Astoria,26,3.0,Coffee,Organic brewed coffee,2023-01-01 11:50:16
149,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,2023-01-01 11:50:23
153,2,3,Astoria,37,3.0,Coffee,Barista Espresso,2023-01-01 11:57:17
154,1,3,Astoria,50,2.5,Tea,Brewed Black tea,2023-01-01 11:57:59
155,1,3,Astoria,79,3.75,Bakery,Scone,2023-01-01 11:57:59
156,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,2023-01-01 11:58:15
158,2,3,Astoria,49,3.0,Tea,Brewed Black tea,2023-01-01 12:01:00
159,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,2023-01-01 12:01:20
160,1,3,Astoria,75,3.5,Bakery,Pastry,2023-01-01 12:01:20
